timestamp,open,high,low,close,volume
2026-04-09 03:35:00+00:00,70942.9,70986.62,70923.6,70943.99,12.38315
2026-04-09 03:40:00+00:00,70943.99,70958.1,70873.07,70903.93,117.61046
2026-04-09 03:45:00+00:00,70903.93,70972.9,70845.27,70972.89,25.91593
2026-04-09 03:50:00+00:00,70972.9,71041.06,70972.9,71017.99,82.20839
2026-04-09 03:55:00+00:00,71018.0,71018.92,70975.64,70992.39,30.97034
2026-04-09 04:00:00+00:00,70992.37,71006.07,70960.79,71000.0,21.11221
2026-04-09 04:05:00+00:00,71000.0,71006.13,70930.33,70952.16,16.05262
2026-04-09 04:10:00+00:00,70952.17,70961.48,70888.47,70908.0,21.71779
2026-04-09 04:15:00+00:00,70907.99,70928.9,70884.39,70928.9,43.55438
2026-04-09 04:20:00+00:00,70928.89,70928.9,70844.0,70845.83,43.86091
2026-04-09 04:25:00+00:00,70845.83,70855.04,70798.84,70838.0,17.92248
2026-04-09 04:30:00+00:00,70838.0,70896.78,70838.0,70890.61,17.84993
2026-04-09 04:35:00+00:00,70890.62,70909.02,70869.17,70879.99,24.97874
2026-04-09 04:40:00+00:00,70880.0,70927.13,70874.17,70874.17,28.08323
2026-04-09 04:45:00+00:00,70874.18,70898.7,70734.77,70758.6,39.48213
2026-04-09 04:50:00+00:00,70758.6,70796.4,70738.81,70771.77,18.03661
2026-04-09 04:55:00+00:00,70771.77,70789.14,70752.77,70782.0,11.49939
2026-04-09 05:00:00+00:00,70781.99,70855.14,70689.38,70834.98,40.8993
2026-04-09 05:05:00+00:00,70834.99,70864.21,70816.43,70858.63,16.36628
2026-04-09 05:10:00+00:00,70858.63,70870.92,70796.06,70870.91,12.96368
2026-04-09 05:15:00+00:00,70870.91,70923.49,70842.98,70923.49,26.46966
2026-04-09 05:20:00+00:00,70923.49,70964.2,70898.0,70916.0,62.37489
2026-04-09 05:25:00+00:00,70916.0,71000.0,70916.0,70985.52,59.52052
2026-04-09 05:30:00+00:00,70985.51,71010.0,70964.35,70996.55,33.23555
2026-04-09 05:35:00+00:00,70996.55,71087.12,70984.19,71077.93,67.71981
2026-04-09 05:40:00+00:00,71077.92,71077.92,71035.46,71040.58,21.3434
2026-04-09 05:45:00+00:00,71040.58,71040.58,70946.28,70962.7,39.08877
2026-04-09 05:50:00+00:00,70962.69,70986.61,70909.95,70952.0,62.54251
2026-04-09 05:55:00+00:00,70951.99,70984.0,70947.22,70984.0,52.87663
2026-04-09 06:00:00+00:00,70983.99,71082.71,70983.99,71019.52,41.11676
2026-04-09 06:05:00+00:00,71019.52,71076.69,71004.55,71004.55,21.32592
2026-04-09 06:10:00+00:00,71004.56,71054.0,70995.15,71010.01,27.07837
2026-04-09 06:15:00+00:00,71010.01,71010.02,70938.06,70943.58,27.29855
2026-04-09 06:20:00+00:00,70943.58,70943.58,70875.54,70881.58,52.00913
2026-04-09 06:25:00+00:00,70881.57,70881.58,70809.94,70862.0,40.86212
2026-04-09 06:30:00+00:00,70862.01,70938.06,70810.69,70912.34,28.5051
2026-04-09 06:35:00+00:00,70912.34,70971.83,70903.88,70905.0,111.72046
2026-04-09 06:40:00+00:00,70905.0,70957.92,70905.0,70934.77,27.68799
2026-04-09 06:45:00+00:00,70934.77,70954.85,70927.86,70950.0,64.24782
2026-04-09 06:50:00+00:00,70949.99,70981.1,70907.64,70981.09,29.23092
2026-04-09 06:55:00+00:00,70981.09,71031.84,70976.22,71031.84,67.86432
2026-04-09 07:00:00+00:00,71031.83,71071.6,71005.23,71054.27,36.40933
2026-04-09 07:05:00+00:00,71054.26,71089.46,71026.0,71085.66,21.06245
2026-04-09 07:10:00+00:00,71085.65,71116.0,71051.1,71093.01,53.56454
2026-04-09 07:15:00+00:00,71093.0,71093.0,70974.98,71027.22,48.14674
2026-04-09 07:20:00+00:00,71027.21,71027.22,70973.07,70993.11,22.48608
2026-04-09 07:25:00+00:00,70993.1,71006.28,70976.0,71000.15,47.15497
2026-04-09 07:30:00+00:00,71000.14,71031.66,70955.4,71029.81,83.83331
2026-04-09 07:35:00+00:00,71029.81,71080.0,71019.99,71030.65,176.48245
2026-04-09 07:40:00+00:00,71030.65,71040.0,70972.63,71021.98,271.6486
2026-04-09 07:45:00+00:00,71021.99,71027.61,70970.18,70985.38,42.85559
2026-04-09 07:50:00+00:00,70985.38,71040.2,70979.99,70982.53,93.18661
2026-04-09 07:55:00+00:00,70982.52,71030.79,70958.29,70982.01,26.05544
2026-04-09 08:00:00+00:00,70982.01,71017.0,70923.17,71007.76,21.73611
2026-04-09 08:05:00+00:00,71007.76,71020.0,70974.0,70977.33,12.07398
2026-04-09 08:10:00+00:00,70977.33,70980.56,70865.42,70950.15,35.88548
2026-04-09 08:15:00+00:00,70950.15,70961.06,70900.0,70935.42,25.15543
2026-04-09 08:20:00+00:00,70935.42,71018.9,70925.37,71017.59,13.95535
2026-04-09 08:25:00+00:00,71017.59,71021.67,70972.98,70980.35,10.81469
2026-04-09 08:30:00+00:00,70980.35,71108.0,70980.35,71083.62,35.8195
